DataLoader: found 20 files matching finewebedu10B/finewebedu_train_*.bin
/workspace/nanoGPT_1GPU_SPEEDRUN/train_gpt2_3060ti.py:307: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
DataLoader: found 1 files matching finewebedu10B/finewebedu_val_*.bin
Running in BF16 mode (no FP8 - RTX 3060 Ti)
Run ID: a99f82f1-58ad-45e4-9678-f42e8b823970
GPU: RTX 3060 Ti (8GB)
Config: batch_size=8, seq_len=12288, iters=7000
Tokens per step: 98,304
Total tokens: 688.1M
Val every 250 steps, checkpoint every 500 steps

Step	Loss	ValLoss	Time(ms)	kt/s	Window	ETA(m)
144	5.781		2771	35.5	256	316.7
145	5.562		2770	35.5	256	316.5
146	5.906		2771	35.5	256	316.6
147	5.656		2768	35.5	256	316.2
148	5.781		2769	35.5	256	316.3
149	5.844		2770	35.5	256	316.3
150	5.812		2770	35.5	256	316.3
151	5.594		2774	35.4	256	316.8
152	5.938		2769	35.5	256	316.1
153	5.594		2768	35.5	256	315.9
154	5.438		2770	35.5	256	316.1
155	5.375		2769	35.5	256	315.9
156	5.469		2767	35.5	256	315.7
157	5.531		2770	35.5	256	316.0
158	5.469		2770	35.5	256	315.9
159	5.312		2769	35.5	256	315.8
160	5.875		2770	35.5	256	315.8
161	5.656		2770	35.5	256	315.8
162	5.500		2771	35.5	256	315.8
163	5.719		2770	35.5	256	315.7
164	6.156		2771	35.5	256	315.7
165	5.500		2768	35.5	256	315.3
166	5.469		2768	35.5	256	315.3
167	5.719		2769	35.5	256	315.4
168	5.719		2772	35.5	256	315.7
169	5.500		2769	35.5	256	315.3
170	5.625		2770	35.5	256	315.4
171	5.281		2770	35.5	256	315.4
172	5.250		2770	35.5	256	315.3
173	5.594		2769	35.5	256	315.1
174	5.594		2772	35.5	256	315.4
175	5.656		2772	35.5	256	315.4
176	5.656		2772	35.5	256	315.3
177	6.000		2774	35.4	256	315.5
178	5.281		2772	35.5	256	315.2
179	5.594		2773	35.5	256	315.2
180	5.562		2770	35.5	256	314.9
181	5.250		2770	35.5	256	314.8
182	5.406		2770	35.5	256	314.8
183	5.500		2770	35.5	256	314.8
184	5.250		2769	35.5	256	314.6
185	5.312		2769	35.5	256	314.6
186	5.125		2772	35.5	256	314.8
187	5.375		2770	35.5	256	314.6
188	5.188		2771	35.5	256	314.6
189	5.469		2774	35.4	256	314.9
190	5.469		2772	35.5	256	314.7
191	5.250		2769	35.5	256	314.3
192	5.719		2773	35.5	256	314.7
193	5.406		2774	35.4	256	314.8
194	5.531		2772	35.5	256	314.5
195	5.344		2772	35.5	256	314.4
196	5.438		2771	35.5	256	314.3
197	5.219		2774	35.4	256	314.6
198	5.188		2771	35.5	256	314.2
199	5.312		2772	35.5	256	314.2
200	5.125		2773	35.4	256	314.4
201	5.156		2772	35.5	256	314.2
202	5.094		2770	35.5	256	313.9
203	5.188		2775	35.4	256	314.4
204	5.656		2777	35.4	256	314.6
205	5.344		2772	35.5	256	314.0
206	5.281		2772	35.5	256	313.9
207	5.312		2772	35.5	256	313.9
208	5.312		2773	35.4	256	314.0
209	5.562		2772	35.5	256	313.8
210	5.062		2771	35.5	256	313.7
211	5.188		2773	35.5	256	313.8
212	5.219		2774	35.4	256	313.8
213	5.375		2781	35.4	256	314.6
214	5.281		2771	35.5	256	313.5
215	4.812		2772	35.5	256	313.5
216	5.188		2774	35.4	256	313.7
217	5.438		2772	35.5	256	313.4
218	5.000		2769	35.5	256	313.0
219	5.219		2772	35.5	256	313.4
220	4.938		2772	35.5	256	313.3
221	5.219		2772	35.5	256	313.2
222	5.594		2774	35.4	256	313.5
223	5.250		2772	35.5	256	313.2
224	5.469		2777	35.4	256	313.6
225	5.438		2772	35.5	256	313.0
226	5.469		2773	35.4	256	313.2
227	5.531		2773	35.4	256	313.1
